Date,Campaign name,Ad set name,Ad name,External destination URL,Reach,Amount spent,Impressions,Post engagements,Page likes,Post reactions,Clicks to play video,Three-second video views,Video watches at 100%,Video average watch time,Post comments,Post shares
2018-04-29,2.38E+16,Kalamazoo,enbridge_GreatLakes_emotional_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_6,1882,7.17,1941,194,,2,192,,94,1,,
2018-04-29,2.38E+16,Kalamazoo,enbridge_GreatLakes_fact_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_6,509,1.91,523,42,,0,42,,23,1,,
2018-04-29,2.38E+16,Kalamazoo,enbridge_GreatLakes_fact_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_15,616,2.12,638,70,,1,67,,9,1,,
2018-04-29,2.38E+16,Kalamazoo,enbridge_GreatLakes_emotional_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_15,2120,6.99,2139,203,,0,201,,38,1,,
2018-04-29,2.38E+16,Cass,enbridge_GreatLakes_emotional_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_6,351,2.1,362,50,,1,48,,19,2,,
2018-04-29,2.38E+16,Ingham,enbridge_GreatLakes_aggressive_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_6,631,1.98,644,62,,0,62,,29,1,,
2018-04-29,2.38E+16,Ingham,enbridge_GreatLakes_emotional_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_15,660,1.82,670,68,,0,67,,7,1,,
2018-04-29,2.38E+16,Cass,enbridge_GreatLakes_fact_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_15,1272,7.18,1298,168,,0,167,,23,2,,
2018-04-29,2.38E+16,Macomb,enbridge_GreatLakes_aggressive_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_6,3399,7.25,3412,155,,1,151,,75,0,,
2018-04-29,2.38E+16,Van Buren,enbridge_GreatLakes_emotional_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_15,620,2.09,644,110,,1,106,,19,2,,
2018-04-29,2.38E+16,Van Buren,enbridge_GreatLakes_aggressive_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_15,2195,7.14,2231,266,,7,256,,39,2,,
2018-04-29,2.38E+16,Van Buren,enbridge_GreatLakes_emotional_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_6,1927,7.17,1984,191,,0,187,,91,1,,
2018-04-29,2.38E+16,Van Buren,enbridge_GreatLakes_fact_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_6,494,1.79,503,43,,0,43,,24,1,,
2018-04-29,2.38E+16,Van Buren,enbridge_GreatLakes_fact_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_15,551,1.83,559,61,,0,61,,6,1,,
2018-04-29,2.38E+16,St.Clair,enbridge_GreatLakes_emotional_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_6,370,1.71,375,45,,0,44,,21,2,,
2018-04-29,2.38E+16,St.Clair,enbridge_GreatLakes_aggressive_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_15,444,1.92,454,53,,0,53,,4,1,,
2018-04-29,2.38E+16,St.Clair,enbridge_GreatLakes_emotional_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_15,430,1.77,433,42,,0,41,,7,2,,
2018-04-29,2.38E+16,St.Clair,enbridge_GreatLakes_aggressive_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_6,1549,7.2,1568,174,,0,173,,88,1,,
2018-04-29,2.38E+16,St.Clair,enbridge_GreatLakes_fact_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_6,422,1.95,431,52,,0,51,,22,1,,
2018-04-29,2.38E+16,St.Clair,enbridge_GreatLakes_fact_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_15,1733,7.2,1755,212,,2,210,,33,2,,
2018-04-29,2.38E+16,Macomb,enbridge_GreatLakes_emotional_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_6,872,2.06,881,53,,1,49,,25,0,,
2018-04-29,2.38E+16,Macomb,enbridge_GreatLakes_aggressive_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_15,922,1.89,926,63,,0,62,,3,1,,
2018-04-29,2.38E+16,Ingham,enbridge_GreatLakes_aggressive_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_15,2656,7.37,2707,247,,2,244,,37,1,,
2018-04-29,2.38E+16,Macomb,enbridge_GreatLakes_emotional_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_15,1024,2.01,1029,77,,0,77,,10,1,,
2018-04-29,2.38E+16,Macomb,enbridge_GreatLakes_fact_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_6,833,1.82,839,54,,0,52,,33,1,,
2018-04-29,2.38E+16,Calhoun,enbridge_GreatLakes_aggressive_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_6,489,1.9,520,50,,0,50,,21,1,,
2018-04-29,2.38E+16,Calhoun,enbridge_GreatLakes_aggressive_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_15,870,3.09,914,101,,1,100,,6,2,,
2018-04-29,2.38E+16,Macomb,enbridge_GreatLakes_fact_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_15,3567,7.25,3587,260,,0,259,,45,1,,
2018-04-29,2.38E+16,Calhoun,enbridge_GreatLakes_emotional_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_15,1800,6.17,1845,193,,0,192,,24,1,,
2018-04-29,2.38E+16,Ingham,enbridge_GreatLakes_fact_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_15,710,1.9,722,54,,1,53,,10,1,,
2018-04-29,2.38E+16,Calhoun,enbridge_GreatLakes_fact_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_6,1964,7.32,2009,193,,0,192,,96,1,,
2018-04-29,2.38E+16,Calhoun,enbridge_GreatLakes_fact_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_15,534,1.73,545,50,,0,50,,9,1,,
2018-04-29,2.38E+16,Ingham,enbridge_GreatLakes_fact_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_6,703,2.39,732,88,,0,87,,37,1,,
2018-04-29,2.38E+16,Calhoun,enbridge_GreatLakes_emotional_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_6,499,1.79,510,32,,0,32,,20,1,,
2018-04-29,2.38E+16,Ingham,enbridge_GreatLakes_emotional_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_6,2297,6.77,2326,168,,0,166,,87,1,,
2018-04-29,2.38E+16,Cass,enbridge_GreatLakes_aggressive_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_6,336,2.02,342,36,,0,35,,16,2,,
2018-04-29,2.38E+16,St. Joseph,enbridge_GreatLakes_fact_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_6,451,1.95,460,55,,0,54,,24,2,,
2018-04-29,2.38E+16,Berrien,enbridge_GreatLakes_aggressive_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_30,844,3.06,898,98,,0,98,,3,2,,
2018-04-29,2.38E+16,Calhoun,enbridge_GreatLakes_fact_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_30,1065,3.86,1126,119,,0,119,,1,1,,
2018-04-29,2.38E+16,Oakland,enbridge_GreatLakes_fact_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_30,1203,4.36,1252,146,,2,144,,6,2,,
2018-04-29,2.38E+16,Oakland,enbridge_GreatLakes_emotional_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_30,1038,3.66,1088,120,,0,119,,0,1,,
2018-04-29,2.38E+16,Oakland,enbridge_GreatLakes_aggressive_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_30,819,2.87,848,93,,0,92,,3,2,,
2018-04-29,2.38E+16,Livingston,enbridge_GreatLakes_fact_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_30,1089,4.66,1159,149,,1,148,,4,2,,
2018-04-29,2.38E+16,Calhoun,enbridge_GreatLakes_emotional_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_30,1080,3.95,1134,125,,0,124,,1,2,,
2018-04-29,2.38E+16,Ingham,enbridge_GreatLakes_aggressive_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_30,1375,4.41,1461,169,,2,165,,15,2,,
2018-04-29,2.38E+16,Livingston,enbridge_GreatLakes_emotional_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_30,975,4.19,1017,157,,1,154,,7,2,,
2018-04-29,2.38E+16,Livingston,enbridge_GreatLakes_aggressive_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_30,444,1.84,462,54,,0,54,,5,2,,
